year,month,Description,total_revenue,ranking
2010,1,FELTCRAFT BUTTERFLY HEARTS,79.92,144
2010,1,HAND OVER THE CHOCOLATE   SIGN ,79.81,145
2010,1,METAL 4 HOOK HANGER FRENCH CHATEAU,79.65,146
2010,1,RETROSPOT LAMP,79.60,147
2010,1,FELTCRAFT PRINCESS CHARLOTTE DOLL,78.99,148
2010,1,RED RETROSPOT UMBRELLA,78.99,148
2010,1,TOOL BOX SOFT TOY ,78.71,150
2010,1,CLASSIC METAL BIRDCAGE PLANT HOLDER,76.49,151
2010,1,ANTIQUE SILVER TEA GLASS ENGRAVED,76.32,152
2010,1,ROCKING HORSE RED CHRISTMAS ,75.84,153
2010,1,ALARM CLOCK BAKELIKE ORANGE,75.24,154
2010,1,ALARM CLOCK BAKELIKE IVORY,75.12,155
2010,1,RED DRAWER KNOB ACRYLIC EDWARDIAN,75.00,156
2010,1,PLASTERS IN TIN VINTAGE PAISLEY ,74.31,157
2010,1,RECIPE BOX RETROSPOT ,73.75,158
2010,1,FELTCRAFT CHRISTMAS FAIRY,72.10,159
2010,1,SET/6 RED SPOTTY PAPER PLATES,71.64,160
2010,1,RECIPE BOX WITH METAL HEART,71.55,161
2010,1,CHARLIE+LOLA PINK HOT WATER BOTTLE,71.46,162
2010,1,BLUE 3 PIECE POLKADOT CUTLERY SET,71.25,163
2010,1,GREEN REGENCY TEACUP AND SAUCER,70.89,164
2010,1,FAWN BLUE HOT WATER BOTTLE,70.83,165
2010,1,SET OF 6 T-LIGHTS TOADSTOOLS,70.80,166
2010,1,SILK PURSE BABUSHKA PINK,70.42,167
2010,1,MINI PAINT SET VINTAGE ,70.20,168
2010,1,WOODEN BOX OF DOMINOES,70.04,169
2010,1,PLASTERS IN TIN SPACEBOY,69.30,170
2010,1,S/4 CACTI CANDLES,68.00,171
2010,1,IVORY KITCHEN SCALES,67.98,172
2010,1,WOODEN ADVENT CALENDAR RED,67.90,173
2010,1,PACK 3 BOXES CHRISTMAS PANNETONE,67.85,174
2010,1,BABUSHKA LIGHTS STRING OF 10,67.50,175
2010,1,EUCALYPTUS & PINECONE  WREATH,66.69,176
2010,1,POLKADOT RAIN HAT ,65.51,177
2010,1,ROSES REGENCY TEACUP AND SAUCER ,64.96,178
2010,1,RECIPE BOX BLUE SKETCHBOOK DESIGN,64.92,179
2010,1,JUMBO BAG STRAWBERRY,64.66,180
2010,1,LARGE HEART MEASURING SPOONS,64.65,181
2010,1,PLASTERS IN TIN STRONGMAN,64.41,182
2010,1,PLASTERS IN TIN WOODLAND ANIMALS,64.35,183
2010,1,JUMBO BAG PINK VINTAGE PAISLEY,62.71,184
2010,1,POLKADOT PEN,62.38,185
2010,1,DOORMAT HEARTS,62.13,186
2010,1,VINTAGE BILLBOARD DRINK ME MUG,61.71,187
2010,1,JAM JAR WITH PINK LID,61.60,188
2010,1,WHITE WOOD GARDEN PLANT LADDER,60.66,189
2010,1,ANTIQUE TALL SWIRLGLASS TRINKET POT,60.24,190
2010,1,RETRO COFFEE MUGS ASSORTED,60.20,191
2010,1,CHILDS BREAKFAST SET DOLLY GIRL ,60.18,192
2010,1,SWEETHEART CERAMIC TRINKET BOX,60.12,193
2010,1,CHARLIE & LOLA WASTEPAPER BIN FLORA,60.00,194
2010,1,CERAMIC STRAWBERRY DESIGN MUG,60.00,194
2010,1,CLASSICAL ROSE SMALL VASE,60.00,194
2010,1,3 TIER CAKE TIN GREEN AND CREAM,59.80,197
2010,1,CABIN BAG VINTAGE PAISLEY,59.53,198
2010,1,CAKE STAND VICTORIAN FILIGREE MED,59.07,199
2010,1,VINTAGE PAISLEY STATIONERY SET,59.05,200
2010,1,WICKER STAR ,58.85,201
2010,1,SCANDINAVIAN REDS RIBBONS,58.83,202
2010,1,LUNCH BAG SUKI  DESIGN ,58.66,203
2010,1,JUMBO BAG WOODLAND ANIMALS,58.50,204
2010,1,JAM JAR WITH GREEN LID,58.32,205
2010,1,TRAVEL SEWING KIT,57.75,206
2010,1,CHARLOTTE BAG SUKI DESIGN,57.60,207
2010,1,TRADITIONAL WOODEN SKIPPING ROPE,57.54,208
2010,1,VINTAGE HEADS AND TAILS CARD GAME ,57.53,209
2010,1,COOK WITH WINE METAL SIGN ,57.17,210
2010,1,COSY HOUR GIANT TUBE MATCHES,56.10,211
2010,1,RETROSPOT LARGE MILK JUG,55.95,212
2010,1,SET OF 3 BLACK FLYING DUCKS,55.80,213
2010,1,HAND WARMER RED POLKA DOT,55.50,214
2010,1,WOOD 2 DRAWER CABINET WHITE FINISH,55.45,215
2010,1,SPACEBOY LUNCH BOX ,54.91,216
2010,1,LUNCH BOX I LOVE LONDON,54.91,216
2010,1,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,54.45,218
2010,1,IVY HEART WREATH,54.28,219
2010,1,SWEETHEART RECIPE BOOK STAND,54.21,220
2010,1,SILK PURSE BABUSHKA RED,53.81,221
2010,1,SAVE THE PLANET MUG,53.57,222
2010,1,CHRISTMAS METAL TAGS ASSORTED ,53.46,223
2010,1,IVORY KNITTED MUG COSY ,53.40,224
2010,1,VINTAGE SNAKES & LADDERS,52.86,225
2010,1,VINTAGE SEASIDE JIGSAW PUZZLES,52.62,226
2010,1,GINGERBREAD MAN COOKIE CUTTER,52.53,227
2010,1,PICNIC BASKET WICKER LARGE,52.41,228
2010,1,SET/10 RED POLKADOT PARTY CANDLES,51.32,229
2010,1,CHALKBOARD KITCHEN ORGANISER,51.02,230
2010,1,RED DINER WALL CLOCK,51.00,231
2010,1,IVORY DINER WALL CLOCK,51.00,231
2010,1,BLUE DINER WALL CLOCK,51.00,231
2010,1,SET OF 2 WOODEN MARKET CRATES,51.00,231
2010,1,INFLATABLE POLITICAL GLOBE ,51.00,231
2010,1,VINTAGE CREAM DOG FOOD CONTAINER,50.96,236
2010,1,WOODEN ADVENT CALENDAR CREAM,50.95,237
2010,1,AIRLINE BAG VINTAGE TOKYO 78,50.88,238
2010,1,CHEST OF DRAWERS GINGHAM HEART ,50.85,239
2010,1,LARGE WHITE HONEYCOMB PAPER BELL  ,50.51,240
2010,1,WOODEN PICTURE FRAME WHITE FINISH,50.40,241
2010,1,NO SINGING METAL SIGN,50.40,241
2010,1,CARRIAGE,50.00,243
2010,1,UNION STRIPE WITH FRINGE  HAMMOCK,49.86,244
2010,1,15CM CHRISTMAS GLASS BALL 20 LIGHTS,49.86,244
2010,1,TRIPLE PHOTO FRAME CORNICE ,49.75,246
2010,1,CHOCOLATE CALCULATOR,49.68,247
2010,1,"DIAMANTE HEART SHAPED WALL MIRROR, ",49.27,248
2010,1,CIRCUS PARADE LUNCH BOX ,49.06,249
2010,1,SOLDIERS EGG CUP ,48.85,250
2010,1,PINK 3 PIECE POLKADOT CUTLERY SET,48.75,251
2010,1,PEACE WOODEN BLOCK LETTERS,48.65,252
2010,1,VICTORIAN SEWING BOX MEDIUM,48.16,253
2010,1,VICTORIAN SEWING BOX SMALL ,47.60,254
2010,1,PINK ROSE FABRIC MIRROR,47.51,255
2010,1,S/15 SILVER GLASS BAUBLES IN BAG,47.51,255
2010,1,STAR PORTABLE TABLE LIGHT ,47.21,257
2010,1,BLUE NEW BAROQUE CANDLESTICK CANDLE,47.20,258
2010,1,COLOUR GLASS T-LIGHT HOLDER HANGING,46.68,259
2010,1,BIRTHDAY PARTY CORDON BARRIER TAPE,46.25,260
2010,1,DOORMAT NEW ENGLAND,46.23,261
2010,1,3 PIECE SPACEBOY COOKIE CUTTER SET,46.20,262
2010,1,VINTAGE SNAP CARDS,46.19,263
2010,1,PACK 3 BOXES BIRD PANNETONE ,45.78,264
2010,1,CARD HOLDER GINGHAM HEART,45.58,265
2010,1,ANTIQUE GLASS PEDESTAL BOWL,45.24,266
2010,1,DOORSTOP RETROSPOT HEART,45.24,266
2010,1,4 TRADITIONAL SPINNING TOPS,45.09,268
2010,1,60 TEATIME FAIRY CAKE CASES,45.09,268
2010,1,DOG BOWL CHASING BALL DESIGN,45.00,270
2010,1,BLACK LOVE BIRD CANDLE,45.00,270
2010,1,PINK HEART DOTS HOT WATER BOTTLE,44.93,272
2010,1,CHARLIE+LOLA RED HOT WATER BOTTLE ,44.74,273
2010,1,SET OF 2 TEA TOWELS APPLE AND PEARS,44.30,274
2010,1,CREAM SWEETHEART LETTER RACK,43.84,275
2010,1,IVORY ENCHANTED FOREST PLACEMAT,43.62,276
2010,1,6 RIBBONS RUSTIC CHARM,43.50,277
2010,1,JUMBO BAG SCANDINAVIAN PAISLEY,43.21,278
2010,1,TV DINNER TRAY DOLLY GIRL,42.96,279
2010,1,HEART IVORY TRELLIS LARGE,42.96,279
2010,1,WOODEN SCHOOL COLOURING SET,42.96,279
2010,1,SMALL HANGING IVORY/RED WOOD BIRD,42.94,282
2010,1,"FEATHER PEN,COAL BLACK",42.46,283
2010,1,PARTY CONE CHRISTMAS DECORATION ,42.44,284
2010,1,FIRST AID TIN,42.25,285
2010,1,72 SWEETHEART FAIRY CAKE CASES,42.16,286
2010,1,CHRISTMAS CRAFT LITTLE FRIENDS,42.06,287
2010,1,JUMBO BAG DOLLY GIRL DESIGN,41.88,288
2010,1,PACK OF 60 DINOSAUR CAKE CASES,41.76,289
2010,1,RIBBON REEL CHRISTMAS SOCK BAUBLE,41.73,290
2010,1,RIBBON REEL STRIPES DESIGN ,41.67,291
2010,1,BLACK/BLUE POLKADOT UMBRELLA,41.65,292
2010,1,FELTCRAFT CUSHION BUTTERFLY,41.61,293
2010,1,SINGLE HEART ZINC T-LIGHT HOLDER,41.54,294
2010,1,CERAMIC HEART FAIRY CAKE MONEY BANK,41.52,295
2010,1,SCOTTIES CHILDRENS APRON,41.49,296
2010,1,ROSE CARAVAN DOORSTOP,41.43,297
2010,1,FIVE HEART HANGING DECORATION,41.31,298
2010,1,MAKE YOUR OWN MONSOON CARD KIT,41.31,298
2010,1,JUMBO BAG CHARLIE AND LOLA TOYS,41.30,300
2010,1,CUPCAKE LACE PAPER SET 6,40.95,301
2010,1,JUMBO STORAGE BAG SKULLS,40.95,301
2010,1,KINGS CHOICE GIANT TUBE MATCHES,40.80,303
2010,1,GUMBALL MONOCHROME COAT RACK,40.67,304
2010,1,BISCUIT TIN VINTAGE RED,40.50,305
2010,1,RED GINGHAM ROSE JEWELLERY BOX,40.08,306
2010,1,PINK DRAWER KNOB ACRYLIC EDWARDIAN,40.00,307
2010,1,SWEETHEART WIRE MAGAZINE RACK,39.98,308
2010,1,FELTCRAFT 6 FLOWER FRIENDS,39.93,309
2010,1,HANGING METAL HEART LANTERN,39.60,310
2010,1,PAINT YOUR OWN CANVAS SET,39.60,310
2010,1,5 HOOK HANGER MAGIC TOADSTOOL,39.60,310
2010,1,ANT WHITE WIRE HEART SPIRAL,39.50,313
2010,1,JUMBO BAG TOYS ,39.00,314
2010,1,STAR WOODEN CHRISTMAS DECORATION,38.90,315
2010,1,SET OF 3 NOTEBOOKS IN PARCEL,38.43,316
2010,1,PAPER CHAIN KIT RETROSPOT,38.41,317
2010,1,DOORMAT SPOTTY HOME SWEET HOME,38.28,318
2010,1,"TRAY, BREAKFAST IN BED",38.24,319
2010,1,BOX OF 6 ASSORTED COLOUR TEASPOONS,38.22,320
2010,1,LADIES & GENTLEMEN METAL SIGN,38.21,321
2010,1,5 STRAND GLASS NECKLACE CRYSTAL,38.10,322
2010,1,BAG 500g SWIRLY MARBLES,38.07,323
2010,1,DISCO BALL CHRISTMAS DECORATION,38.00,324
2010,1,CHRISTMAS CRAFT TREE TOP ANGEL,37.88,325
2010,1,CIRCUS PARADE CHILDRENS EGG CUP ,37.53,326
2010,1,3 STRIPEY MICE FELTCRAFT,37.05,327
2010,1,CHILDRENS DOLLY GIRL MUG,36.54,328
2010,1,RED CHARLIE+LOLA PERSONAL DOORSIGN,36.48,329
2010,1,LUNCH BAG CARS BLUE,36.30,330
2010,1,5 HOOK HANGER RED MAGIC TOADSTOOL,36.30,330
2010,1,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,36.29,332
2010,1,EMERGENCY FIRST AID TIN ,36.27,333
2010,1,DOCTOR'S BAG SOFT TOY,35.80,334
2010,1,36 FOIL HEART CAKE CASES,35.71,335
2010,1,PICNIC BASKET WICKER SMALL,35.70,336
2010,1,LOVEBIRD HANGING DECORATION WHITE ,35.58,337
2010,1,RED RETROSPOT MUG,35.43,338
2010,1,TOADSTOOL MONEY BOX,35.40,339
2010,1,CLASSIC WHITE FRAME,35.40,339
2010,1,SMALL REGAL  SILVER CANDLEPOT ,35.40,339
2010,1,SILVER PLATE CANDLE BOWL SMALL,35.40,339
2010,1,CERAMIC PIRATE CHEST MONEY BANK,34.80,343
2010,1,GREEN CHRISTMAS TREE CARD HOLDER,34.00,344
2010,1,FAMILY ALBUM WHITE PICTURE FRAME,33.96,345
2010,1,HEART IVORY TRELLIS SMALL,33.76,346
2010,1,SQUARECUSHION COVER PINK UNION FLAG,33.75,347
2010,1,ZINC METAL HEART DECORATION,33.75,347
2010,1,POPPY'S PLAYHOUSE KITCHEN,33.62,349
2010,1,POPPY'S PLAYHOUSE BEDROOM ,33.62,349
2010,1,PLEASE ONE PERSON METAL SIGN,33.62,349
2010,1,I CAN ONLY PLEASE ONE PERSON MUG,33.36,352
2010,1,GIN AND TONIC MUG,33.36,352
2010,1,LUNCH BAG DOLLY GIRL DESIGN,33.17,354
2010,1,BIRD HOUSE HOT WATER BOTTLE,33.09,355
2010,1,SILVER HANGING T-LIGHT HOLDER,33.06,356
2010,1,YELLOW SHARK HELICOPTER,32.84,357
2010,1,BLUE DRAGONFLY HELICOPTER,32.84,357
2010,1,PACK OF 6 BIRDY GIFT TAGS,32.50,359
2010,1,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",32.47,360
2010,1,60 CAKE CASES VINTAGE CHRISTMAS,32.24,361
2010,1,DOORMAT FAIRY CAKE,31.80,362
2010,1,DOORMAT PEACE ON EARTH BLUE,31.80,362
2010,1,ASSORTED COLOUR MINI CASES,31.80,362
2010,1,SMALLFOLKART BAUBLE CHRISTMAS DEC,31.78,365
2010,1,TOY TIDY DOLLY GIRL DESIGN,31.57,366
2010,1,GLITTER CHRISTMAS HEART ,31.45,367
2010,1,SET/6 RED SPOTTY PAPER CUPS,31.20,368
2010,1,MINI JIGSAW CIRCUS PARADE ,31.09,369
2010,1,SET OF 20 VINTAGE CHRISTMAS NAPKINS,31.05,370
2010,1,PENS ASSORTED FUNNY FACE,30.60,371
2010,1,GUMBALL MAGAZINE RACK,30.58,372
2010,1,HEART WOODEN CHRISTMAS DECORATION,30.56,373
2010,1,PACK OF 6 HANDBAG GIFT BOXES,30.52,374
2010,1,CARDHOLDER GINGHAM STAR,30.48,375
2010,1,DOORMAT UNION FLAG,30.33,376
2010,1,FOLDING UMBRELLA RED/WHITE POLKADOT,30.24,377
2010,1,PACK OF 72 SKULL CAKE CASES,30.24,377
2010,1,SET OF 3 BUTTERFLY COOKIE CUTTERS,30.06,379
2010,1,SET/3 CHRISTMAS DECOUPAGE CANDLES,30.06,379
2010,1,20 DOLLY PEGS RETROSPOT,30.00,381
2010,1,FELTCRAFT CUSHION OWL,30.00,381
2010,1,IF YOU CAN'T STAND THE HEAT MUG,30.00,381
2010,1,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,30.00,381
2010,1,WOOD AND GLASS MEDICINE CABINET,29.95,385
2010,1,3 TIER CAKE TIN RED AND CREAM,29.90,386
2010,1,MA CAMPAGNE CUTLERY BOX,29.90,386
2010,1,PINK DOUGHNUT TRINKET POT ,29.88,388
2010,1,CHILDS BREAKFAST SET SPACEBOY ,29.85,389
2010,1,PLASTERS IN TIN SKULLS,29.82,390
2010,1,ENAMEL FLOWER JUG CREAM,29.72,391
2010,1,KINGS CHOICE BISCUIT TIN,29.72,391
2010,1,BLUE COAT RACK PARIS FASHION,29.70,393
2010,1,CAKE PLATE LOVEBIRD WHITE,29.70,393
2010,1,VINTAGE GLASS COFFEE CADDY,29.69,395
2010,1,AIRLINE BAG VINTAGE JET SET WHITE,29.66,396
2010,1,OFFICE MUG WARMER BLACK+SILVER ,29.52,397
2010,1,METAL SIGN EMPIRE TEA,29.52,397
2010,1,OFFICE MUG WARMER CHOC+BLUE,29.52,397
2010,1,MAGIC DRAWING SLATE CIRCUS PARADE  ,29.49,400
2010,1,CHILDREN'S APRON DOLLY GIRL ,29.42,401
2010,1,TOTE BAG I LOVE LONDON,29.40,402
2010,1,RED WHITE SCARF  HOT WATER BOTTLE,28.79,403
2010,1,CHRISTMAS HANGING STAR WITH BELL,28.78,404
2010,1,WICKER WREATH SMALL,28.47,405
2010,1,RIBBON REEL SNOWY VILLAGE,28.29,406
2010,1,MAGIC DRAWING SLATE DOLLY GIRL ,28.22,407
2010,1,VINTAGE BILLBOARD LOVE/HATE MUG,27.95,408
2010,1,VINTAGE UNION JACK APRON,27.80,409
2010,1,WICKER WREATH LARGE,27.61,410
2010,1,BLUE HARMONICA IN BOX ,27.55,411
2010,1,LARGE CAKE TOWEL PINK SPOTS,27.14,412
2010,1,METAL DECORATION NAUGHTY CHILDREN ,27.08,413
2010,1,VICTORIAN  METAL POSTCARD SPRING,27.04,414
2010,1,CAMOUFLAGE LED TORCH,27.00,415
2010,1,HI TEC ALPINE HAND WARMER,26.76,416
2010,1,MINI CAKE STAND WITH HANGING CAKES,26.56,417
2010,1,S/6 WOODEN SKITTLES IN COTTON BAG,26.55,418
2010,1,COSY SLIPPER SHOES SMALL  RED ,26.55,418
2010,1,CANDLEHOLDER PINK HANGING HEART,26.55,418
2010,1,PHOTO FRAME CORNICE,26.55,418
2010,1,FELTCRAFT CUSHION RABBIT,26.37,422
2010,1,SPACEBOY CHILDRENS EGG CUP,26.29,423
2010,1,PINK CREAM FELT CRAFT TRINKET BOX ,26.28,424
2010,1,FELTCRAFT PRINCESS LOLA DOLL,26.25,425
2010,1,WOOD BLACK BOARD ANT WHITE FINISH,25.80,426
2010,1,CHARLIE + LOLA RED HOT WATER BOTTLE,25.65,427
2010,1,3 HOOK PHOTO SHELF ANTIQUE WHITE,25.50,428
2010,1,GINGHAM HEART  DOORSTOP RED,25.50,428
2010,1,CHRISTMAS LIGHTS 10 SANTAS ,25.50,428
2010,1,WOODEN CROQUET GARDEN SET,25.49,431
2010,1,BOYS VINTAGE TIN SEASIDE BUCKET,25.46,432
2010,1,GUMBALL COAT RACK,25.46,432
2010,1,LOVE HEART NAPKIN BOX ,25.44,434
2010,1,STRAWBERRY LUNCH BOX WITH CUTLERY,25.42,435
2010,1,VINTAGE KEEPSAKE BOX PARIS DAYS,25.42,435
2010,1,CHARLIE + LOLA BISCUITS TINS,25.41,437
2010,1,SET OF 3 GOLD FLYING DUCKS,25.40,438
2010,1,"FANCY FONT BIRTHDAY CARD, ",25.20,439
